learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.098426349,5.869315717238932E-9,1000.0,87.0,74.0,83.68883312421582,69.19431279620854,1000.0,230504.0,10.0,1008.1,12.148571017933664,13987.2,148.98149027461244,9.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.18471712,1.1163017459460017E-8,2000.0,93.89999999999999,87.80253707228896,93.26710816777042,86.07305936073058,2000.0,237136.0,10.0,1993.6,14.943746369486988,14482.4,73.20522142883283,9.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.279734146,1.8050605976269062E-8,3000.0,95.5,90.99999999999999,95.07658643326039,91.01796407185628,3000.0,280200.0,10.0,2985.8,20.467209547631708,18661.6,1407.1977765126771,13.8,1.3063945294843615,12.200000000000001,1.1430952132988164,12.200000000000001,1.1430952132988164,1.6,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.434514165,3.0127823848912695E-8,4000.0,95.19999999999999,90.39999999999999,94.73684210526315,90.26369168356997,4000.0,301616.0,10.0,3983.5000000000005,24.112352758608118,20733.600000000002,1617.511306503502,13.8,1.3063945294843615,12.200000000000001,1.1430952132988164,12.200000000000001,1.1430952132988164,1.6,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.521738321,3.706320683383072E-8,5000.0,95.6,91.20042237972577,95.21739130434781,90.98360655737704,5000.0,307352.0,10.0,4983.3,21.814903162746333,21307.199999999997,1755.755771424058,13.8,1.3063945294843615,12.200000000000001,1.1430952132988164,12.200000000000001,1.1430952132988164,1.6,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.606014907,4.3943525140925E-8,6000.0,94.0,88.00095992320614,93.25842696629213,87.75510204081631,6000.0,315576.0,10.0,5975.299999999999,24.13943293083376,21957.6,2000.5034210862468,14.3,1.520599297060939,12.600000000000001,1.3097921802925665,12.600000000000001,1.3097921802925665,1.6,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.715030094,5.5718552293344914E-8,7000.0,95.3,90.60270642055087,94.9244060475162,90.42769857433808,7000.0,417520.0,10.0,6979.2,27.179567488996003,32104.8,2431.5073916308697,23.6,2.1354156504062622,20.5,1.8633899812498247,20.5,1.8633899812498247,2.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.828491422,6.963869455453215E-8,8000.0,95.0,89.99939996399783,94.4812362030905,89.9598393574297,8000.0,474240.0,10.0,7973.1,24.01316768404831,37753.6,2248.4946233227047,27.7,1.358512258154322,24.1,1.2060035010083696,24.1,1.2060035010083696,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.931018367,8.265763359942783E-8,9000.0,93.89999999999999,87.80058557189254,93.16143497757847,87.84860557768923,9000.0,490840.0,10.0,8971.0,22.59744331654458,39404.0,2040.9884315639267,27.7,1.358512258154322,24.1,1.2060035010083696,24.1,1.2060035010083696,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.032650233,9.572634746459209E-8,10000.0,96.3,92.60011839810562,96.0215053763441,92.54032258064515,10000.0,497056.0,10.0,9980.100000000002,19.668615722628875,40027.200000000004,1903.247731875409,28.5,1.284523257866513,24.8,1.1430952132988164,24.8,1.1430952132988164,3.1,0.09999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.137805577,1.0996240292900552E-7,11000.0,94.69999999999999,89.39524907158406,94.17582417582418,89.20570264765783,11000.0,523312.0,10.0,10964.699999999999,21.688220048885707,42553.6,2449.3837193148083,31.8,1.5832456116050555,27.7,1.414606344928196,27.7,1.414606344928196,3.4000000000000004,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.302818232,1.3574751814630917E-7,12000.0,95.7,91.39999999999999,95.31590413943356,91.34808853118712,12000.0,604024.0,10.0,11984.300000000001,27.08343076905552,50506.399999999994,5207.938972163342,37.8,4.715930449020638,33.0,4.226897995772628,33.0,4.226897995772628,3.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.425491221,1.5543120047951117E-7,13000.0,94.39999999999999,88.80143341652268,93.77777777777777,88.68686868686868,13000.0,620240.0,10.0,13001.7,28.469106062537286,52115.200000000004,5951.570498242926,37.8,4.715930449020638,33.0,4.226897995772628,33.0,4.226897995772628,3.5,0.16666666666666663,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.571803365,1.813949054359831E-7,14000.0,96.5,93.00016799596808,96.26068376068378,92.92929292929293,14000.0,685944.0,10.0,13995.0,27.943593978664314,58662.4,4873.130290343844,43.7,3.6999999999999997,38.2,3.3293309304490055,38.2,3.3293309304490055,4.1,0.10000000000000002,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.708809889,2.0657268203959076E-7,15000.0,95.89999999999999,91.80091829715072,95.58189655172413,91.68356997971601,15000.0,710360.0,10.0,15012.599999999999,27.014070407844876,61094.40000000001,4820.553152215349,44.400000000000006,3.667272677193351,38.8,3.299158141775632,38.8,3.299158141775632,4.1,0.10000000000000002,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.842355874,2.312795165344928E-7,16000.0,96.2,92.40027359015073,95.94017094017093,92.41516966067863,16000.0,715136.0,10.0,16012.099999999999,27.349771479849753,61570.4,4846.04845942662,44.400000000000006,3.667272677193351,38.8,3.299158141775632,38.8,3.299158141775632,4.1,0.10000000000000002,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.969792235,2.5791624302480785E-7,17000.0,94.39999999999999,88.80089592832573,93.7984496124031,88.57142857142856,17000.0,807960.0,10.0,17019.6,26.032543735358473,70875.2,5092.227063105318,60.199999999999996,5.388877434122993,52.800000000000004,4.7930505248049835,52.800000000000004,4.7930505248049835,4.6,0.1632993161855452,0.0,0.0,0.0,0.0,1.0,0.0
