learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.063842654,2.419284223558174E-10,1000.0,87.9,75.8,84.81806775407779,71.32701421800948,1000.0,14648.0,9.0,8.0,8.0,1.0,0.0,0.0,1.0
2000.0,0.129003419,4.911443284692035E-10,2000.0,94.0,88.00230355771691,93.37748344370861,86.30136986301369,2000.0,14784.0,9.0,8.0,8.0,1.0,0.0,0.0,1.0
3000.0,0.183362566,8.145875831838283E-10,3000.0,95.39999999999999,90.8,94.9671772428884,90.81836327345309,3000.0,23000.0,17.0,15.0,15.0,2.0,0.0,0.0,1.0
4000.0,0.24048298,1.1860245665059321E-9,4000.0,95.0,89.99951997695888,94.51754385964912,89.85801217038538,4000.0,25136.0,17.0,15.0,15.0,2.0,0.0,0.0,1.0
5000.0,0.309952067,1.6550141146634188E-9,5000.0,95.3,90.60112786465623,94.89130434782608,90.36885245901638,5000.0,26096.0,17.0,15.0,15.0,2.0,0.0,0.0,1.0
6000.0,0.376956554,2.151046969410446E-9,6000.0,93.7,87.4025194961008,92.92134831460675,87.14285714285715,6000.0,28616.0,22.0,19.0,19.0,2.0,0.0,0.0,1.0
7000.0,0.48695545,3.203493004060454E-9,7000.0,94.5,89.00554120723154,94.06047516198703,88.79837067209775,7000.0,36984.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
8000.0,0.551849612,3.920011934054395E-9,8000.0,94.19999999999999,88.39791162409233,93.59823399558498,88.35341365461846,8000.0,42680.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
9000.0,0.612751365,4.606566065858222E-9,9000.0,93.60000000000001,87.20107510969079,92.82511210762333,87.25099601593627,9000.0,43576.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
10000.0,0.699660766,5.589725611803847E-9,10000.0,96.2,92.40024319221784,95.91397849462365,92.33870967741935,10000.0,43728.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
11000.0,0.789530266,6.61120702892335E-9,11000.0,94.69999999999999,89.39524907158406,94.17582417582418,89.20570264765783,11000.0,43936.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
12000.0,0.866910746,7.491855844555216E-9,12000.0,95.7,91.39999999999999,95.31590413943356,91.34808853118712,12000.0,43992.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
13000.0,0.972140108,8.69097063737404E-9,13000.0,94.6,89.20069115576602,94.0,89.09090909090908,13000.0,44048.0,30.0,26.0,26.0,3.0,0.0,0.0,1.0
14000.0,1.073876403,1.0161901008538488E-8,14000.0,96.39999999999999,92.80008639896322,96.15384615384615,92.72727272727272,14000.0,55888.0,39.0,34.0,34.0,4.0,0.0,0.0,1.0
15000.0,1.180058124,1.1717102170433436E-8,15000.0,96.0,92.00067194355674,95.6896551724138,91.88640973630831,15000.0,56616.0,39.0,34.0,34.0,4.0,0.0,0.0,1.0
16000.0,1.272583227,1.3088748496859852E-8,16000.0,96.39999999999999,92.80008639896322,96.15384615384615,92.81437125748504,16000.0,57304.0,39.0,34.0,34.0,4.0,0.0,0.0,1.0
