learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.071190263,8.663343605895837E-11,1000.0,59.599999999999994,19.199999999999996,59.599999999999994,-Infinity,1000.0,4704.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.108108123,1.3155981965363025E-10,2000.0,65.5,31.000000000000007,65.5,31.000000000000007,2000.0,4704.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.145414881,2.220502675821384E-10,3000.0,66.60000000000001,33.20000000000001,66.60000000000001,33.20000000000001,3000.0,9376.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.182281964,3.505400164094236E-10,4000.0,65.10000000000001,30.200000000000003,65.10000000000001,30.200000000000003,4000.0,13472.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.208654088,4.784207190987137E-10,5000.0,70.1,40.19999999999999,70.1,40.19999999999999,5000.0,18744.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6000.0,0.231138657,6.104382236322595E-10,6000.0,75.1,50.2,75.1,50.2,6000.0,22696.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
7000.0,0.247498514,7.070025334362355E-10,7000.0,75.1,50.2,75.1,50.2,7000.0,22816.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
8000.0,0.270680081,8.716106038085289E-10,8000.0,73.5,47.0,73.5,47.0,8000.0,27448.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
9000.0,0.293181821,1.0349772161038386E-9,9000.0,75.1,50.2,75.1,50.2,9000.0,28064.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
10000.0,0.315373916,1.2228722919254668E-9,10000.0,76.4,52.800000000000004,76.4,52.800000000000004,10000.0,32728.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
11000.0,0.331652556,1.3608680330278973E-9,11000.0,77.10000000000001,54.2,77.10000000000001,54.2,11000.0,32768.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
12000.0,0.350677352,1.5224188437706067E-9,12000.0,77.7,55.400000000000006,77.7,55.400000000000006,12000.0,32824.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
13000.0,0.368289361,1.6530188877508045E-9,13000.0,76.1,52.2,76.1,52.2,13000.0,28664.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
14000.0,0.386358563,1.825489810899728E-9,14000.0,77.2,54.400000000000006,77.2,54.400000000000006,14000.0,36896.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
15000.0,0.429622467,2.9017512743299207E-9,15000.0,81.10000000000001,62.20000000000001,81.10000000000001,62.20000000000001,15000.0,96160.0,35.0,27.0,27.0,5.0,0.0,0.0,1.0
16000.0,0.456680528,3.744432019007703E-9,16000.0,78.10000000000001,56.2,78.10000000000001,56.2,16000.0,120384.0,35.0,27.0,27.0,5.0,0.0,0.0,1.0
17000.0,0.47865045,4.4493845774854226E-9,17000.0,78.3,56.60000000000001,78.3,56.60000000000001,17000.0,124032.0,39.0,29.0,29.0,5.0,0.0,0.0,1.0
18000.0,0.49607301,5.032331512781481E-9,18000.0,77.8,55.60000000000001,77.8,55.60000000000001,18000.0,129336.0,39.0,29.0,29.0,5.0,0.0,0.0,1.0
19000.0,0.515501791,5.701464730209361E-9,19000.0,76.7,53.462174534821486,76.417004048583,53.118712273641854,19000.0,133128.0,41.0,30.0,30.0,5.0,0.0,0.0,1.0
20000.0,0.535116388,6.410000822066019E-9,20000.0,67.9,35.774823730902526,57.08556149732621,24.292452830188697,20000.0,139632.0,43.0,31.0,31.0,5.0,0.0,0.0,1.0
21000.0,0.551073643,6.98734782728677E-9,21000.0,51.4,2.7739434168357207,43.619489559164734,-23.037974683544295,21000.0,139856.0,43.0,31.0,31.0,5.0,0.0,0.0,1.0
22000.0,0.563854405,7.4501633916484815E-9,22000.0,49.4,-1.200000000000001,49.4,-1.200000000000001,22000.0,139976.0,43.0,31.0,31.0,5.0,0.0,0.0,1.0
23000.0,0.574193276,7.824574861921783E-9,23000.0,52.400000000000006,4.800000000000004,52.400000000000006,4.800000000000004,23000.0,139984.0,43.0,31.0,31.0,5.0,0.0,0.0,1.0
24000.0,0.590295256,8.42372054097346E-9,24000.0,55.300000000000004,10.600000000000009,55.300000000000004,10.600000000000009,24000.0,143832.0,45.0,32.0,32.0,5.0,0.0,0.0,1.0
25000.0,0.61060268,9.203178522162553E-9,25000.0,61.6,23.2,61.6,23.2,25000.0,148368.0,47.0,33.0,33.0,5.0,0.0,0.0,1.0
26000.0,0.636527088,1.0283004900753083E-8,26000.0,80.9,61.80000000000001,80.9,61.80000000000001,26000.0,161008.0,53.0,36.0,36.0,6.0,0.0,0.0,1.0
27000.0,0.652464012,1.0952101063221279E-8,27000.0,80.0,60.00000000000001,80.0,60.00000000000001,27000.0,162288.0,53.0,36.0,36.0,6.0,0.0,0.0,1.0
28000.0,0.671876797,1.1785287767741829E-8,28000.0,81.69999999999999,63.39999999999999,81.69999999999999,63.39999999999999,28000.0,165904.0,55.0,37.0,37.0,6.0,0.0,0.0,1.0
