learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.021055226,1.0240363805658287E-11,1000.0,84.7,69.40856560163155,81.43203883495146,68.32298136645963,1000.0,1880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.031474962,1.5308078937232494E-11,2000.0,85.7,71.40754840722049,82.64563106796116,70.9349593495935,2000.0,1880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.039120583,1.902658286400967E-11,3000.0,86.0,72.02685421994885,83.33333333333333,71.71717171717171,3000.0,1880.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.050868633,3.60705787419445E-11,4000.0,81.69999999999999,63.40292776577873,77.46305418719211,62.95546558704452,4000.0,5608.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.057390601,4.553260824539595E-11,5000.0,86.2,72.39911677173669,83.21167883211677,71.60493827160494,5000.0,5608.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.063349589,5.4177869961907466E-11,6000.0,83.2,66.39032041227873,79.10447761194028,66.19718309859154,6000.0,5608.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.068987324,6.235705987860759E-11,7000.0,86.8,73.62068138579355,84.05797101449274,72.8395061728395,7000.0,5608.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.075128186,7.126618323226769E-11,8000.0,85.8,71.60238539962643,82.89156626506023,71.4859437751004,8000.0,5608.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.080660593,7.929256395954225E-11,9000.0,86.6,73.18455430327869,83.69829683698296,72.02505219206681,9000.0,5608.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.085792033,8.921169774192903E-11,10000.0,84.89999999999999,69.78912408467049,80.88607594936708,69.49494949494948,10000.0,7472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.092095324,1.0139603326924973E-10,11000.0,85.39999999999999,70.72446913035631,81.81818181818183,69.77225672877846,11000.0,7472.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.099095912,1.183040625622703E-10,12000.0,87.5,75.01399216438794,84.51053283767038,75.44204322200393,12000.0,9336.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
