evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
1000.0,1000.0,51.0,-0.7998156803370422,40.53398058252427
2000.0,2000.0,50.64999999999999,-0.39997233151723216,40.10922330097087
3000.0,3000.0,50.83333333333333,-0.2666526482179173,40.71543408360129
4000.0,4000.0,53.65,6.015204347227695,43.81818181818182
5000.0,5000.0,58.9,16.947442239876146,50.145560407569135
6000.0,6000.0,62.28333333333333,23.904978176902723,54.06008932196509
7000.0,7000.0,65.02857142857142,29.43824425748946,57.45568300312826
8000.0,8000.0,66.73750000000001,32.995777424613024,59.583839611178625
9000.0,9000.0,68.30000000000001,36.27792819509968,61.47718066432623
10000.0,10000.0,69.49,38.74603435281401,62.774524158125914
11000.0,11000.0,70.33636363636364,40.543534761649056,63.74041560173354
12000.0,12000.0,70.96666666666667,41.80945860192827,64.47073220477259
13000.0,13000.0,71.56153846153846,42.990293558056194,65.22434389991535
14000.0,14000.0,72.24285714285715,44.35763236877835,66.12622036262204
15000.0,15000.0,72.90666666666667,45.75923721258001,67.03706707762186
16000.0,16000.0,73.39375,46.73426755864142,67.63968072976054
17000.0,17000.0,73.95294117647059,47.86206483843584,68.37594629338666
18000.0,18000.0,74.41666666666666,48.780887491463474,68.94388993795522
19000.0,19000.0,74.82105263157894,49.58413400006489,69.46447947916002
20000.0,20000.0,75.0,49.91947853436669,69.35523412601128
21000.0,21000.0,75.13809523809523,50.18822355670286,69.37470671046458
22000.0,22000.0,75.34545454545454,50.588154913057835,69.67121449340192
23000.0,23000.0,75.63478260869564,51.16742667470415,70.03529034327879
24000.0,24000.0,75.90416666666667,51.71261633772689,70.36790325886452
25000.0,25000.0,76.168,52.23750042880432,70.69932133372676
26000.0,26000.0,76.46153846153845,52.826823545662116,71.07477077228471
27000.0,27000.0,76.65925925925926,53.22501808869596,71.27358920594402
28000.0,28000.0,76.95714285714286,53.81340476445552,71.64703814378626
29000.0,29000.0,77.15862068965518,54.21858084235601,71.88693659281896
30000.0,30000.0,77.43666666666667,54.77996662602542,72.27410502170886
31000.0,31000.0,77.57741935483871,55.062096603481045,72.42979533555449
32000.0,32000.0,77.753125,55.41979714504785,72.6360701107011
33000.0,33000.0,77.9060606060606,55.7359744063959,72.82823389110423
34000.0,34000.0,78.07058823529411,56.08143034748284,73.04410701373824
35000.0,35000.0,78.27714285714286,56.499224314497376,73.30782193512148
36000.0,36000.0,78.40555555555555,56.75669461649866,73.45489312299391
37000.0,37000.0,78.57297297297298,57.105220031331136,73.67250024906187
38000.0,38000.0,78.74473684210527,57.44682196197073,73.89632215112147
39000.0,39000.0,78.86153846153846,57.6796096250812,74.05017469860556
40000.0,40000.0,78.99249999999999,57.94301093297032,74.2270887007729
41000.0,41000.0,79.12926829268294,58.21406561261513,74.39710370414696
42000.0,42000.0,79.21428571428571,58.38331937518537,74.49233016800585
43000.0,43000.0,79.31627906976743,58.58850078370883,74.61613105770877
44000.0,44000.0,79.44318181818181,58.844862932194495,74.78253596520575
45000.0,45000.0,79.56888888888889,59.09923046882229,74.94413255573119
46000.0,46000.0,79.69130434782609,59.34657146777226,75.11852128056252
47000.0,47000.0,79.80000000000001,59.56603437061966,75.24638890337384
48000.0,48000.0,79.91666666666667,59.80293430239952,75.40565363812635
49000.0,49000.0,80.0326530612245,60.03714597529415,75.5595523581135
50000.0,50000.0,80.10000000000001,60.170052276538186,75.64259485924114
51000.0,51000.0,80.18823529411765,60.3492462984239,75.75466717857657
52000.0,52000.0,80.25,60.47349999600694,75.82391713747646
53000.0,53000.0,80.32830188679245,60.63064539551267,75.91257739580445
54000.0,54000.0,80.43518518518519,60.84123076705631,76.04742903781626
55000.0,55000.0,80.50363636363636,60.97726756134715,76.15097193185359
56000.0,56000.0,80.56071428571428,61.092173260378814,76.2117040339146
57000.0,57000.0,80.61929824561403,61.208723698277154,76.28584921861584
58000.0,58000.0,80.68793103448276,61.34741753701445,76.36919831223629
59000.0,59000.0,80.75423728813558,61.480885551017295,76.45265646385467
60000.0,60000.0,80.82166666666667,61.61950458953277,76.54026503567788
61000.0,61000.0,80.89344262295081,61.763766268748235,76.62548634230475
62000.0,62000.0,80.92903225806451,61.83504560784101,76.66469311229524
63000.0,63000.0,80.99047619047619,61.95894688250684,76.74563106796116
64000.0,64000.0,81.02968750000001,62.037521736267465,76.79649873862854
