evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent)
10000.0,10000.0,75.47,46.83145836736294,48.29258010118045
20000.0,20000.0,79.25,56.233727713146365,56.67606221943835
30000.0,30000.0,81.06333333333333,60.31064032539546,60.758444429094425
40000.0,40000.0,82.235,62.88580343775704,63.278383546069975
50000.0,50000.0,83.178,64.87035165838017,65.18337610729364
60000.0,60000.0,83.86,66.38502041532057,66.62415991728416
70000.0,70000.0,84.45857142857143,67.69255212207874,67.96430990311848
80000.0,80000.0,84.9925,68.83295136295033,69.09572961981004
90000.0,90000.0,85.43777777777778,69.78299680443342,69.99885544237152
100000.0,100000.0,85.726,70.4145242889408,70.5957481872116
# COMPLETED
